City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Pacific Grove,US,2021-03-29 01:23:20,36.6177,-121.9166,57.99,79,0,5.99
172,Portoferraio,IT,2021-03-29 01:35:31,42.8115,10.3146,51.01,92,0,4.0
173,Asau,RO,2021-03-29 01:35:32,46.4333,26.4,37.0,42,31,5.23
174,Likasi,CD,2021-03-29 01:35:32,-10.9814,26.7333,62.4,98,100,1.9
175,Conde,BR,2021-03-29 01:35:32,-7.2597,-34.9075,77.0,100,40,2.3
176,Cruz,BR,2021-03-29 01:35:32,-2.9178,-40.1717,75.81,87,8,4.41
177,Tandil,AR,2021-03-29 01:35:33,-37.3217,-59.1332,60.01,86,1,7.02
178,Souillac,MU,2021-03-29 01:34:21,-20.5167,57.5167,73.4,88,20,5.75
179,Tiznit,MA,2021-03-29 01:27:03,29.5833,-9.5,62.24,53,56,2.3
180,Ribeira Grande,PT,2021-03-29 01:34:45,38.5167,-28.7,60.46,84,65,24.16
181,Rochelle,FR,2021-03-29 01:35:33,46.25,-1.0,48.2,71,0,10.36
182,Fortuna,US,2021-03-29 01:35:33,40.5982,-124.1573,51.01,87,90,11.5
183,New Haven,US,2021-03-29 01:35:03,41.4001,-72.9329,55.99,94,90,13.02
184,Bengkulu,ID,2021-03-29 01:32:05,-3.8004,102.2655,80.62,80,62,4.65
185,Zielona Gora,PL,2021-03-29 01:35:34,51.9355,15.5064,48.99,41,100,8.59
186,Abu Samrah,SY,2021-03-29 01:35:34,35.3029,37.1841,43.74,70,0,4.7
187,Cherskiy,RU,2021-03-29 01:35:34,68.75,161.3,1.58,83,97,5.55
188,Mareeba,AU,2021-03-29 01:33:44,-17.0,145.4333,88.0,57,100,10.0
189,Tezu,IN,2021-03-29 01:26:51,27.9167,96.1667,77.72,18,0,1.16
190,Japura,ID,2021-03-29 01:35:35,-0.3167,102.35,80.47,84,98,2.1
191,San Vicente,AR,2021-03-29 01:35:35,-26.6167,-54.1333,62.65,98,48,1.7
192,Nassau,US,2021-03-29 01:26:55,40.7507,-73.5829,57.0,94,90,6.91
193,Gogrial,SS,2021-03-29 01:35:28,8.5332,28.1004,78.87,15,0,8.66
194,New Norfolk,AU,2021-03-29 01:35:36,-42.7826,147.0587,60.01,54,100,1.01
195,Nizhniy Kuranakh,RU,2021-03-29 01:35:36,58.8353,125.4869,25.12,92,100,6.15
196,Tubuala,PA,2021-03-29 01:35:36,9.5167,-79.0333,80.6,69,20,2.3
197,Vanavara,RU,2021-03-29 01:34:41,60.34,102.2797,23.45,96,100,3.15
198,North Bend,US,2021-03-29 01:26:30,43.4065,-124.2243,48.0,93,90,28.77
199,Corcoran,US,2021-03-29 01:35:37,36.098,-119.5604,82.4,21,1,6.91
200,Veranopolis,BR,2021-03-29 01:35:37,-28.9361,-51.5494,64.99,99,61,0.56
201,Lasa,IT,2021-03-29 01:25:54,46.6166,10.7002,44.01,60,0,3.44
202,Hobyo,SO,2021-03-29 01:34:50,5.3505,48.5268,79.34,79,100,11.1
203,Fukue,JP,2021-03-29 01:32:51,32.6881,128.8419,64.4,77,75,5.75
204,San Miguel,SV,2021-03-29 01:35:38,13.4833,-88.1833,79.61,50,35,1.86
205,Luchegorsk,RU,2021-03-29 01:35:38,46.4764,134.2569,36.64,97,100,4.14
206,Shimoda,JP,2021-03-29 01:33:07,34.6667,138.95,69.01,77,20,3.44
207,Hongjiang,CN,2021-03-29 01:35:38,27.11,109.9956,80.31,65,86,8.9
208,Yellowknife,CA,2021-03-29 01:31:04,62.456,-114.3525,19.4,53,75,19.57
209,Praya,CV,2021-03-29 01:35:39,14.9215,-23.5087,68.0,73,20,19.57
210,Broome,US,2021-03-29 01:35:39,42.2506,-75.833,46.0,70,75,12.66
211,Srednekolymsk,RU,2021-03-29 01:35:39,67.45,153.6833,6.84,84,99,6.15
212,Ukiah,US,2021-03-29 01:35:40,39.1502,-123.2078,73.4,21,1,10.36
213,Southbridge,US,2021-03-29 01:35:40,42.0751,-72.0334,57.0,99,100,1.99
214,Iquique,CL,2021-03-29 01:31:14,-20.2208,-70.1431,68.0,68,40,11.5
215,Imbituba,BR,2021-03-29 01:35:40,-28.24,-48.6703,77.0,83,40,9.22
216,Namibe,AO,2021-03-29 01:27:08,-15.1961,12.1522,73.33,75,44,4.14
217,Vernon,CA,2021-03-29 01:35:41,50.2581,-119.2691,48.2,37,100,12.66
218,Chor,PK,2021-03-29 01:35:41,25.5167,69.7667,76.05,57,2,14.72
219,Derzhavinsk,KZ,2021-03-29 01:35:41,51.1,66.3167,14.09,94,15,9.31
220,Dillon,US,2021-03-29 01:35:41,34.4166,-79.3712,68.0,82,40,12.66
221,Bilma,NE,2021-03-29 01:32:53,18.6853,12.9164,68.02,16,0,8.59
222,Dikson,RU,2021-03-29 01:33:56,73.5069,80.5464,-26.95,99,98,7.43
223,Fairview,US,2021-03-29 01:33:33,40.8126,-73.999,57.99,82,90,6.91
224,Kyshtovka,RU,2021-03-29 01:35:42,56.555,76.6271,27.97,97,100,6.78
225,Coihaique,CL,2021-03-29 01:35:42,-45.5752,-72.0662,55.4,82,40,3.44
226,Provideniya,RU,2021-03-29 01:30:45,64.3833,-173.3,18.12,90,100,21.77
227,Swiebodzice,PL,2021-03-29 01:35:43,50.8598,16.3282,43.0,66,100,8.12
228,Mazagao,BR,2021-03-29 01:27:11,-0.115,-51.2894,82.4,100,75,3.44
229,San Rafael Del Sur,NI,2021-03-29 01:32:43,11.8485,-86.4384,86.0,42,20,11.5
230,Galle,LK,2021-03-29 01:35:43,6.0367,80.217,77.18,80,15,5.03
231,The Valley,AI,2021-03-29 01:26:26,18.217,-63.0578,78.8,78,75,13.8
232,Belaya Gora,RU,2021-03-29 01:29:55,68.5333,146.4167,6.82,86,52,4.05
233,Kieta,PG,2021-03-29 01:35:43,-6.2167,155.6333,85.62,65,100,4.38
234,Avarua,CK,2021-03-29 01:34:27,-21.2078,-159.775,82.4,83,75,13.8
235,Henties Bay,NA,2021-03-29 01:35:44,-22.116,14.2845,60.01,91,0,3.0
236,Krasnoselkup,RU,2021-03-29 01:31:18,65.7,82.4667,-3.77,97,26,10.76
237,Lorengau,PG,2021-03-29 01:35:44,-2.0226,147.2712,85.98,68,99,9.8
238,Mikkeli,FI,2021-03-29 01:35:44,61.6886,27.2723,32.0,86,0,6.91
239,Kuusamo,FI,2021-03-29 01:35:45,65.9667,29.1833,37.4,81,75,8.05
240,Ferme-Neuve,CA,2021-03-29 01:35:45,46.7001,-75.4493,42.8,87,99,18.41
241,Shieli,KZ,2021-03-29 01:26:52,44.1667,66.75,40.12,72,100,5.06
242,Lagoa,PT,2021-03-29 01:34:37,39.05,-27.9833,59.47,82,100,17.9
243,Cuamba,MZ,2021-03-29 01:35:45,-14.8031,36.5372,67.66,93,100,3.44
244,Guilin,CN,2021-03-29 01:35:46,25.2819,110.2864,75.2,83,75,6.71
245,Cabedelo,BR,2021-03-29 01:25:26,-6.9811,-34.8339,77.0,100,40,2.3
246,Tagusao,PH,2021-03-29 01:31:38,9.1924,117.8141,84.2,70,98,7.7
247,Yar-Sale,RU,2021-03-29 01:35:46,66.8333,70.8333,-17.7,99,31,7.45
248,Brae,GB,2021-03-29 01:35:47,60.3964,-1.353,46.4,93,20,23.02
249,Sayyan,YE,2021-03-29 01:31:04,15.1718,44.3244,50.97,40,1,2.35
250,Naze,JP,2021-03-29 01:29:52,28.3667,129.4833,71.6,78,20,9.22
251,Qasigiannguit,GL,2021-03-29 01:34:49,68.8193,-51.1922,-11.2,44,16,2.3
252,Trinidad,BO,2021-03-29 01:33:26,-14.8333,-64.9,71.15,91,75,3.38
253,Pisco,PE,2021-03-29 01:35:47,-13.7,-76.2167,69.8,73,0,18.41
254,Buchanan,LR,2021-03-29 01:35:47,5.8808,-10.0467,77.0,94,75,1.07
255,Aleksinac,RS,2021-03-29 01:35:48,43.5417,21.7078,43.0,61,0,1.14
256,Si Chiang Mai,TH,2021-03-29 01:35:48,17.9564,102.5867,84.99,89,40,2.3
257,Codrington,AU,2021-03-29 01:35:48,-38.2667,141.9667,64.4,56,10,8.93
258,Sao Jose Da Coroa Grande,BR,2021-03-29 01:30:47,-8.8978,-35.1478,78.24,82,97,5.03
259,Susanville,US,2021-03-29 01:35:49,40.4163,-120.653,64.4,19,1,17.27
260,Trairi,BR,2021-03-29 01:35:49,-3.2778,-39.2689,74.95,88,6,1.66
261,Marsaxlokk,MT,2021-03-29 01:33:21,35.8419,14.5431,57.0,100,75,9.22
262,Konakovo,RU,2021-03-29 01:35:49,56.7,36.7667,26.46,97,24,3.02
263,Demba,CD,2021-03-29 01:35:50,-5.51,22.2667,68.13,91,100,1.3
264,Marawi,PH,2021-03-29 01:30:24,7.9986,124.2928,81.0,84,87,5.99
265,Cap Malheureux,MU,2021-03-29 01:26:31,-19.9842,57.6142,75.99,83,8,4.63
266,Saint-Augustin,CA,2021-03-29 01:30:08,51.226,-58.6502,4.51,94,73,0.65
267,Oulu,FI,2021-03-29 01:35:50,65.0124,25.4682,35.6,80,75,12.66
268,Constitucion,CL,2021-03-29 01:26:44,-35.3333,-72.4167,56.53,69,0,1.74
269,Bezhetsk,RU,2021-03-29 01:35:51,57.7851,36.6965,24.64,95,14,6.06
270,High Level,CA,2021-03-29 01:35:51,58.5169,-117.136,17.6,93,90,23.02
271,Vizinga,RU,2021-03-29 01:35:51,61.0749,50.1031,24.17,97,100,4.9
272,Victor Harbor,AU,2021-03-29 01:35:52,-35.5667,138.6167,66.99,70,0,5.41
273,Mabaruma,GY,2021-03-29 01:35:52,8.2,-59.7833,72.97,98,80,4.99
274,Lebu,CL,2021-03-29 01:35:52,-37.6167,-73.65,55.81,92,23,9.84
275,Hambantota,LK,2021-03-29 01:33:16,6.1241,81.1185,75.2,100,75,1.14
276,Nome,US,2021-03-29 01:35:52,64.5011,-165.4064,23.0,86,90,21.85
277,Bandarbeyla,SO,2021-03-29 01:35:53,9.4942,50.8122,75.45,74,51,2.93
278,Lavrentiya,RU,2021-03-29 01:30:09,65.5833,-171.0,14.95,90,100,20.04
279,Aswan,EG,2021-03-29 01:35:53,24.0934,32.907,59.02,36,0,13.96
280,Labuhan,ID,2021-03-29 01:27:03,-6.8844,112.2051,80.78,79,94,4.83
281,Shunyi,CN,2021-03-29 01:35:54,40.125,116.6453,61.0,11,0,11.18
282,Mogwase,ZA,2021-03-29 01:35:54,-25.185,27.2665,59.92,76,0,2.73
283,Nisia Floresta,BR,2021-03-29 01:35:54,-6.0911,-35.2086,78.8,89,40,2.3
284,Waingapu,ID,2021-03-29 01:30:23,-9.6567,120.2641,84.6,73,100,10.58
285,Carutapera,BR,2021-03-29 01:31:53,-1.195,-46.02,75.29,94,67,5.37
286,Belyy Yar,RU,2021-03-29 01:31:42,53.6039,91.3903,28.4,100,100,2.24
287,Acapulco,MX,2021-03-29 01:22:37,16.8634,-99.8901,80.6,74,20,6.91
288,Poronaysk,RU,2021-03-29 01:35:55,49.2167,143.1167,32.04,99,100,8.39
289,Atikokan,CA,2021-03-29 01:35:55,48.7555,-91.6216,21.58,90,19,2.84
290,Dourbali,TD,2021-03-29 01:33:05,11.8091,15.8632,76.78,13,5,17.0
291,Wawa,NG,2021-03-29 01:35:55,9.9022,4.4192,79.41,24,1,4.05
292,Luderitz,NA,2021-03-29 01:35:56,-26.6481,15.1594,60.37,86,0,4.41
293,Bhainsa,IN,2021-03-29 01:35:56,26.9548,76.9012,82.36,14,67,6.08
294,Tairua,NZ,2021-03-29 01:35:56,-37.0167,175.85,69.01,92,74,4.0
