City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Ha Noi,VN,25.0,broken clouds,21.0245,105.8412,Sofitel Legend Metropole Hanoi
183,Ahuimanu,US,22.0,few clouds,21.4447,-157.8378,Paradise Bay Resort
193,Biloela,AU,20.64,overcast clouds,-24.4167,150.5,Silo Motor Inn
200,Cockburn Town,TC,24.73,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
205,Ribeira Grande,PT,17.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
210,Manakara,MG,24.14,clear sky,-22.1333,48.0167,La Residence Manakara
212,Punta Gorda,US,20.0,few clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
225,Nanning,CN,22.0,mist,22.8167,108.3167,Nanning Travelling With Hostel
231,Imperia,IT,17.0,moderate rain,43.9667,7.7833,La Stregatta
232,Ngozi,BI,17.72,light rain,-2.9075,29.8306,Ruhuka Hotel
237,Rawson,AR,24.56,clear sky,-43.3002,-65.1023,Hosteria Sampedro
240,Geraldton,AU,25.0,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
247,Moranbah,AU,19.7,scattered clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
248,Vao,NC,24.59,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
252,Praia Da Vitoria,PT,17.0,broken clouds,38.7333,-27.0667,Hotel Branco I
258,Kondoa,TZ,20.71,light rain,-4.9,35.7833,Kinyuma Lodge
261,Byron Bay,AU,22.0,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
272,San Alberto,CO,24.72,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
274,Soe,ID,19.03,moderate rain,-9.8607,124.284,Dena Hotel
282,Telde,ES,22.0,few clouds,27.9924,-15.4192,El Baladero Apartamentos
291,Vila Franca Do Campo,PT,18.0,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
294,Las Vegas,US,21.67,clear sky,36.175,-115.1372,Plaza Hotel & Casino
305,Port Macquarie,AU,17.22,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
311,Chuy,UY,23.68,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
319,Imbituba,BR,23.0,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
320,Plettenberg Bay,ZA,19.48,clear sky,-34.0527,23.3716,Thanda Vista B&B
327,Muros,ES,21.67,clear sky,42.7762,-9.0603,Apartment Av. Castelao
334,Mackay,AU,22.0,overcast clouds,-21.15,149.2,International Lodge Motel
335,Izumo,JP,19.0,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
338,Yulara,AU,24.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
