City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Ponta Do Sol,PT,32.6667,-17.1,17.78,60,63,2.24,broken clouds
123,Mar Del Plata,AR,-38.0023,-57.5575,21.0,83,40,4.63,scattered clouds
124,Arraial Do Cabo,BR,-22.9661,-42.0278,28.0,69,20,3.09,few clouds
125,Pacific Grove,US,36.6177,-121.9166,11.11,71,90,1.54,overcast clouds
126,Ancud,CL,-41.8697,-73.8203,14.0,62,0,1.54,clear sky
127,Yelatma,RU,54.9675,41.7508,1.24,91,100,1.37,overcast clouds
128,Namibe,AO,-15.1961,12.1522,30.0,70,40,5.14,scattered clouds
129,Lasa,IT,46.6166,10.7002,18.0,34,20,3.6,few clouds
130,Baiao,BR,-2.7906,-49.6717,31.83,55,65,1.22,broken clouds
131,Ballina,AU,-28.8667,153.5667,22.0,83,40,4.12,scattered clouds
132,Nuuk,GL,64.1835,-51.7216,-6.0,73,40,6.69,scattered clouds
133,Kaitangata,NZ,-46.2817,169.8464,10.4,59,99,4.89,overcast clouds
134,Tessalit,ML,20.1986,1.0114,34.81,4,0,4.94,clear sky
135,Khatanga,RU,71.9667,102.5,-31.66,90,14,1.97,few clouds
136,Vilsbiburg,DE,48.45,12.35,10.56,68,88,2.68,overcast clouds
137,Butaritari,KI,3.0707,172.7902,27.98,79,32,7.48,light rain
138,Esperance,AU,-33.8667,121.9,18.0,72,90,5.66,overcast clouds
139,Eyl,SO,7.9803,49.8164,27.74,67,3,5.77,clear sky
140,Mo I Rana,NO,66.3128,14.1428,4.0,87,75,5.14,light rain
141,Pangnirtung,CA,66.1451,-65.7125,-24.0,53,1,3.09,clear sky
142,Loukhi,RU,66.0764,33.0381,1.38,84,94,1.55,overcast clouds
143,Amberley,US,39.2048,-84.428,8.89,39,1,3.6,clear sky
144,Novopokrovka,UA,49.8425,36.5477,8.0,46,0,4.0,clear sky
145,Nizhniy Odes,RU,63.6445,54.856,-1.72,93,100,1.04,overcast clouds
146,Asfi,MA,32.2994,-9.2372,18.08,65,0,8.82,clear sky
147,Sao Joao Da Barra,BR,-21.6403,-41.0511,30.0,51,20,3.09,few clouds
148,Wageningen,NL,51.9667,5.6667,11.11,57,75,5.66,broken clouds
149,Cabo San Lucas,MX,22.8909,-109.9124,27.22,43,40,2.93,scattered clouds
150,Bredasdorp,ZA,-34.5322,20.0403,27.0,34,24,4.12,few clouds
151,Conde,BR,-7.2597,-34.9075,26.0,94,75,1.54,broken clouds
152,Zhireken,RU,52.8249,117.3076,-0.96,66,95,3.46,overcast clouds
153,Saint George,US,37.1041,-113.5841,13.0,35,1,1.43,clear sky
154,Talnakh,RU,69.4865,88.3972,-23.99,73,0,2.8,clear sky
155,Kilcullen,IE,53.1303,-6.7444,13.33,62,20,3.6,few clouds
156,Khagaria,IN,25.5,86.4833,29.1,6,0,3.66,clear sky
157,Yabassi,CM,4.457,9.9682,33.0,66,40,2.06,scattered clouds
158,Ugoofaaru,MV,5.6667,73.0,28.81,71,19,4.64,few clouds
159,Souillac,MU,-20.5167,57.5167,28.0,78,40,2.06,scattered clouds
160,Port Lincoln,AU,-34.7333,135.8667,20.16,59,0,1.45,clear sky
161,Cairns,AU,-16.9167,145.7667,24.0,88,90,3.6,overcast clouds
162,Naze,JP,28.3667,129.4833,18.98,90,60,3.25,broken clouds
163,Deputatskiy,RU,69.3,139.9,-25.23,100,100,0.81,overcast clouds
